,overall,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9
0,0.8362,0.7739130434782608,0.9310344827586207,0.7724137931034483,0.8382352941176471,0.7049180327868853,0.9347826086956522,0.5153846153846153,0.7870370370370371,0.95,0.9836065573770492
1,0.8554,0.7217391304347827,0.9482758620689655,0.6827586206896552,0.8897058823529411,0.7786885245901639,0.9347826086956522,0.6461538461538462,0.9444444444444444,0.9666666666666667,0.9426229508196722
2,0.871,0.782608695652174,0.9482758620689655,0.8137931034482758,0.8823529411764706,0.8442622950819673,0.9565217391304348,0.5153846153846153,0.9259259259259259,0.9666666666666667,0.9754098360655737
3,0.8697,0.8521739130434782,0.9568965517241379,0.8896551724137931,0.8382352941176471,0.7622950819672131,0.9637681159420289,0.4846153846153846,0.9444444444444444,0.9583333333333334,0.9426229508196722
4,0.8805,0.8,0.9741379310344828,0.7655172413793103,0.8897058823529411,0.8524590163934426,0.9637681159420289,0.5846153846153846,0.9166666666666666,0.9833333333333333,0.9836065573770492
5,0.802,0.8608695652173913,0.9913793103448276,0.7448275862068966,0.022058823529411766,0.9098360655737705,0.9637681159420289,0.6307692307692307,0.9537037037037037,0.975,0.9508196721311475
6,0.8879,0.8347826086956521,0.9655172413793104,0.7862068965517242,0.8970588235294118,0.8770491803278688,0.9782608695652174,0.6076923076923076,0.8703703703703703,0.975,0.9836065573770492
7,0.8016,0.8347826086956521,0.9655172413793104,0.8482758620689655,0.0,0.8442622950819673,0.9420289855072463,0.6384615384615384,0.9629629629629629,0.975,0.9672131147540983
8,0.8053,0.8173913043478261,0.9741379310344828,0.8137931034482758,0.0,0.8278688524590164,0.9565217391304348,0.6538461538461539,0.9537037037037037,0.9833333333333333,0.9754098360655737
9,0.8071,0.808695652173913,0.9913793103448276,0.7724137931034483,0.0,0.8852459016393442,0.9565217391304348,0.6692307692307692,0.9629629629629629,0.9833333333333333,0.9836065573770492
10,0.8936,0.782608695652174,0.9568965517241379,0.8068965517241379,0.875,0.8360655737704918,0.9710144927536232,0.7153846153846154,0.9537037037037037,0.9833333333333333,0.9836065573770492
11,0.8032,0.7652173913043478,0.9827586206896551,0.8689655172413793,0.0,0.8278688524590164,0.9637681159420289,0.6461538461538462,0.9629629629629629,0.9916666666666667,0.9590163934426229
12,0.8052,0.8347826086956521,0.9827586206896551,0.9103448275862069,0.0,0.8524590163934426,0.9565217391304348,0.5769230769230769,0.9629629629629629,0.9916666666666667,0.9754098360655737
13,0.8116,0.8260869565217391,0.9913793103448276,0.8,0.0,0.8934426229508197,0.9637681159420289,0.6923076923076923,0.9629629629629629,0.9916666666666667,0.9754098360655737
14,0.8851,0.8608695652173913,0.9568965517241379,0.7586206896551724,0.9191176470588235,0.9344262295081968,0.9782608695652174,0.35384615384615387,0.9444444444444444,0.9833333333333333,0.9672131147540983
15,0.8096,0.808695652173913,0.9913793103448276,0.8,0.0,0.9098360655737705,0.9927536231884058,0.6846153846153846,0.9166666666666666,0.9916666666666667,0.9836065573770492
16,0.8929,0.8782608695652174,0.9827586206896551,0.8551724137931035,0.8676470588235294,0.8524590163934426,0.9782608695652174,0.5384615384615384,0.8796296296296297,0.9833333333333333,0.9836065573770492
17,0.889,0.8695652173913043,0.9655172413793104,0.896551724137931,0.8897058823529411,0.8114754098360656,0.9782608695652174,0.5230769230769231,0.9537037037037037,0.9833333333333333,0.9754098360655737
18,0.8111,0.8608695652173913,0.9827586206896551,0.8206896551724138,0.0,0.9262295081967213,0.9637681159420289,0.6384615384615384,0.9722222222222222,0.9916666666666667,0.9508196721311475
19,0.8981,0.8521739130434782,0.9568965517241379,0.8689655172413793,0.8602941176470589,0.860655737704918,0.9710144927536232,0.6,0.9629629629629629,0.9833333333333333,0.9672131147540983
20,0.81,0.8434782608695652,0.9827586206896551,0.903448275862069,0.0,0.819672131147541,0.9710144927536232,0.676923076923077,0.9722222222222222,0.9916666666666667,0.9590163934426229
21,0.8158,0.8260869565217391,0.9913793103448276,0.8482758620689655,0.0,0.8770491803278688,0.9782608695652174,0.676923076923077,0.9722222222222222,0.9916666666666667,0.9754098360655737
22,0.8131,0.8608695652173913,0.9741379310344828,0.8551724137931035,0.0,0.8852459016393442,0.9782608695652174,0.6307692307692307,0.8981481481481481,0.9916666666666667,0.9918032786885246
23,0.8118,0.7304347826086957,0.9827586206896551,0.8344827586206897,0.0,0.8934426229508197,0.9637681159420289,0.7769230769230769,0.9259259259259259,0.9916666666666667,0.9836065573770492
24,0.8148,0.8173913043478261,0.9913793103448276,0.8551724137931035,0.0,0.8852459016393442,0.9710144927536232,0.7,0.9907407407407407,0.9916666666666667,0.9590163934426229
25,0.8157,0.808695652173913,0.9827586206896551,0.8827586206896552,0.0,0.9016393442622951,0.9782608695652174,0.6923076923076923,0.9814814814814815,0.9916666666666667,0.9754098360655737
26,0.8182,0.8608695652173913,0.9827586206896551,0.8620689655172413,0.0,0.8934426229508197,0.9782608695652174,0.6461538461538462,0.9814814814814815,0.9916666666666667,0.9754098360655737
27,0.812,0.808695652173913,0.9827586206896551,0.903448275862069,0.0,0.8770491803278688,0.9855072463768116,0.6076923076923076,0.9814814814814815,0.9916666666666667,0.9754098360655737
28,0.8149,0.8521739130434782,0.9827586206896551,0.7655172413793103,0.0,0.860655737704918,0.9855072463768116,0.7230769230769231,0.9629629629629629,0.9833333333333333,0.9672131147540983
29,0.8203,0.8521739130434782,0.9913793103448276,0.8,0.0,0.9016393442622951,0.9782608695652174,0.7307692307692307,0.9722222222222222,0.9916666666666667,0.9672131147540983
