,overall,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9
0,0.7445,0.9478260869565217,0.9482758620689655,0.8689655172413793,0.0,0.8032786885245902,0.9057971014492754,0.16153846153846155,0.8518518518518519,0.9416666666666667,0.9754098360655737
1,0.7742,0.808695652173913,0.9741379310344828,0.7241379310344828,0.0,0.8934426229508197,0.9710144927536232,0.5076923076923077,0.75,0.9666666666666667,0.9836065573770492
2,0.7842,0.8782608695652174,0.9827586206896551,0.8413793103448276,0.0,0.7868852459016393,0.927536231884058,0.5307692307692308,0.9166666666666666,0.9666666666666667,0.9754098360655737
3,0.7904,0.8695652173913043,0.9655172413793104,0.8,0.0,0.8442622950819673,0.9710144927536232,0.5461538461538461,0.9074074074074074,0.9666666666666667,0.9590163934426229
4,0.7954,0.8608695652173913,0.9741379310344828,0.7379310344827587,0.0,0.9262295081967213,0.9782608695652174,0.5384615384615384,0.9166666666666666,0.975,0.9508196721311475
5,0.8017,0.8608695652173913,0.9913793103448276,0.7586206896551724,0.0,0.8934426229508197,0.9710144927536232,0.6230769230769231,0.9537037037037037,0.9833333333333333,0.9426229508196722
6,0.796,0.8869565217391304,0.9913793103448276,0.8689655172413793,0.0,0.9016393442622951,0.9565217391304348,0.38461538461538464,0.9722222222222222,0.9833333333333333,0.9426229508196722
7,0.8011,0.782608695652174,0.9741379310344828,0.8689655172413793,0.0,0.819672131147541,0.9420289855072463,0.6384615384615384,0.9722222222222222,0.975,0.9672131147540983
8,0.8071,0.8434782608695652,0.9741379310344828,0.8275862068965517,0.0,0.819672131147541,0.9637681159420289,0.6615384615384615,0.9722222222222222,0.9833333333333333,0.9754098360655737
9,0.8087,0.8,0.9913793103448276,0.7862068965517242,0.0,0.8852459016393442,0.9637681159420289,0.6692307692307692,0.9629629629629629,0.975,0.9836065573770492
10,0.8027,0.8695652173913043,0.9827586206896551,0.8689655172413793,0.0,0.7459016393442623,0.9637681159420289,0.6,0.9722222222222222,0.9833333333333333,0.9426229508196722
11,0.8022,0.7478260869565218,0.9827586206896551,0.896551724137931,0.0,0.8114754098360656,0.9565217391304348,0.6538461538461539,0.9722222222222222,0.9916666666666667,0.9590163934426229
12,0.8061,0.8347826086956521,0.9827586206896551,0.903448275862069,0.0,0.819672131147541,0.9855072463768116,0.6,0.9629629629629629,0.9916666666666667,0.9754098360655737
13,0.8125,0.8173913043478261,0.9913793103448276,0.8,0.0,0.9180327868852459,0.9637681159420289,0.6615384615384615,0.9629629629629629,0.9833333333333333,0.9754098360655737
14,0.809,0.8869565217391304,0.9913793103448276,0.8620689655172413,0.0,0.7868852459016393,0.9492753623188406,0.6461538461538462,0.9629629629629629,0.9916666666666667,0.9836065573770492
15,0.8155,0.7739130434782608,0.9913793103448276,0.8551724137931035,0.0,0.9098360655737705,0.9927536231884058,0.7307692307692307,0.9351851851851852,0.9916666666666667,0.9836065573770492
16,0.8122,0.8956521739130435,0.9913793103448276,0.8413793103448276,0.0,0.9016393442622951,0.9782608695652174,0.5384615384615384,0.9722222222222222,0.9916666666666667,0.9590163934426229
17,0.8151,0.782608695652174,0.9827586206896551,0.8344827586206897,0.0,0.8852459016393442,0.9855072463768116,0.8,0.9629629629629629,0.9833333333333333,0.9754098360655737
18,0.8139,0.8608695652173913,0.9827586206896551,0.8068965517241379,0.0,0.9262295081967213,0.9710144927536232,0.6230769230769231,0.9814814814814815,0.9916666666666667,0.9590163934426229
19,0.8155,0.808695652173913,0.9913793103448276,0.8758620689655172,0.0,0.8360655737704918,0.9855072463768116,0.7615384615384615,0.9351851851851852,0.9916666666666667,0.9754098360655737
20,0.8108,0.8434782608695652,0.9827586206896551,0.896551724137931,0.0,0.7786885245901639,0.9710144927536232,0.6538461538461539,0.9722222222222222,0.9916666666666667,0.9672131147540983
21,0.8162,0.8521739130434782,0.9913793103448276,0.8620689655172413,0.0,0.8934426229508197,0.9782608695652174,0.6846153846153846,0.9722222222222222,0.9916666666666667,0.9672131147540983
22,0.8148,0.8347826086956521,0.9827586206896551,0.8620689655172413,0.0,0.9016393442622951,0.9782608695652174,0.6615384615384615,0.8981481481481481,0.9916666666666667,0.9918032786885246
23,0.8146,0.7652173913043478,0.9913793103448276,0.8068965517241379,0.0,0.9016393442622951,0.9710144927536232,0.7923076923076923,0.9444444444444444,0.9916666666666667,0.9836065573770492
24,0.8169,0.8173913043478261,0.9913793103448276,0.8689655172413793,0.0,0.8770491803278688,0.9782608695652174,0.6846153846153846,0.9814814814814815,0.9916666666666667,0.9672131147540983
25,0.8173,0.8173913043478261,0.9913793103448276,0.8896551724137931,0.0,0.8934426229508197,0.9782608695652174,0.7076923076923077,0.9722222222222222,0.9916666666666667,0.9754098360655737
26,0.8152,0.8608695652173913,0.9913793103448276,0.8758620689655172,0.0,0.8770491803278688,0.9710144927536232,0.6153846153846154,0.9722222222222222,0.9916666666666667,0.9672131147540983
27,0.8168,0.8347826086956521,0.9913793103448276,0.896551724137931,0.0,0.8770491803278688,0.9855072463768116,0.6692307692307692,0.9814814814814815,0.9916666666666667,0.9672131147540983
28,0.8205,0.8695652173913043,0.9913793103448276,0.8,0.0,0.8934426229508197,0.9782608695652174,0.7076923076923077,0.9629629629629629,0.9916666666666667,0.9672131147540983
29,0.8176,0.8260869565217391,0.9913793103448276,0.7655172413793103,0.0,0.9262295081967213,0.9782608695652174,0.7692307692307693,0.9629629629629629,0.9916666666666667,0.9672131147540983
