,overall,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9
0,0.8398,0.8,0.9396551724137931,0.7931034482758621,0.8088235294117647,0.6639344262295082,0.927536231884058,0.5461538461538461,0.8888888888888888,0.95,0.9672131147540983
1,0.8595,0.7304347826086957,0.9482758620689655,0.696551724137931,0.8676470588235294,0.8442622950819673,0.9130434782608695,0.6230769230769231,0.9351851851851852,0.9666666666666667,0.9590163934426229
2,0.8698,0.8521739130434782,0.9482758620689655,0.8482758620689655,0.8529411764705882,0.8114754098360656,0.9565217391304348,0.46923076923076923,0.9259259259259259,0.9583333333333334,0.9672131147540983
3,0.8716,0.6434782608695652,0.9482758620689655,0.8482758620689655,0.8823529411764706,0.7868852459016393,0.9565217391304348,0.6384615384615384,0.8981481481481481,0.9666666666666667,0.9836065573770492
4,0.883,0.8521739130434782,0.9482758620689655,0.8482758620689655,0.8382352941176471,0.8278688524590164,0.9565217391304348,0.5846153846153846,0.9537037037037037,0.975,0.9672131147540983
5,0.8816,0.7391304347826086,0.9655172413793104,0.7517241379310344,0.8235294117647058,0.8524590163934426,0.9492753623188406,0.6461538461538462,0.9351851851851852,0.9833333333333333,0.9836065573770492
6,0.8828,0.7391304347826086,0.9482758620689655,0.7724137931034483,0.8602941176470589,0.9016393442622951,0.9637681159420289,0.6692307692307692,0.9166666666666666,0.975,0.9836065573770492
7,0.8872,0.8434782608695652,0.9568965517241379,0.7931034482758621,0.9044117647058824,0.8934426229508197,0.9637681159420289,0.5384615384615384,0.9537037037037037,0.975,0.9836065573770492
8,0.8879,0.8695652173913043,0.9568965517241379,0.8551724137931035,0.9044117647058824,0.7786885245901639,0.9565217391304348,0.5769230769230769,0.9722222222222222,0.9666666666666667,0.9754098360655737
9,0.8927,0.782608695652174,0.9741379310344828,0.8896551724137931,0.8970588235294118,0.7704918032786885,0.9637681159420289,0.6307692307692307,0.9537037037037037,0.975,0.9836065573770492
